ITEM#,FORECAST ITEM#,FACTORY ITEM#,CATALOGUE,PG.,DESCRIPTION,SUB-BRAND,CONTENTS,PIC,26ss FOB,Channel Risk,INFLATED SIZE,PACKAGE TYPE,PACKAGE SIZE OF RETAIL UNIT,EACH,STD,CARTON SIZE,CUBE,CTN_N.W,CTN_G.W,20',40',40'HQ,45'HQ,SPECIFICATION,MATERIAL,EAN CODE,UPC CODE,EAN ITF CODE,UPC ITF CODE,Mega Category ,Product Type,Product/Brand Name,EXTRA NOTE,CND HS Codes,Duty %,ORDER QTY,ORDER CTN,CBM,Total amount,UNIT FOB OFFERED TO NURISE,DUTY PER UNIT,SUB-TOTAL,COST PER Carton,unit cbm,COST PER unit cbm,LANDED USD,EXT. LC USD,LANDED CAD,EXT. LC CAD,Comp Retailer (Canada),Comp Price (CAD),Comp URL,Comp Notes,Amazon.ca Price (CAD),Amazon.ca URL,Price Date,Data Dive Link to MKL
58498,58498,1058498XXX26,ABOVE GROUND POOLS 2026,PG80,6056L/1600gal Sand Filter,Bestway ,"(one Sand Filter pump(110-120V~, 3.2A), Pump's water flow rate 6056L/h (1600 gal./h), Required sand size: #20 silica, 0.45-0.85mm,approximately 9KG, work w/ 1.25 in/ 3.2 cm valves using the adaptors included. Work onlyw/ threaded1.5in /3.8 cm valv)",,67.35,Amazon + Spreetail,,Full Color Box,54,11.331,1,55,0.1,11.33,11.71,276,584,668,732,"Pump Flow Rate: 6,056 L/h (1,600 gal./h)
System Flow Rate: 5,300 L/h (1,400 gal./h)
Compatible with 1,100-42,300 L (300-11,200 gal.) above ground pools
Uses approximately 9 kg (19.8 lbs) #20 silica sand, 0.45-0.85 mm or 250 g (0.55 lbs) Polysphere™ Pool Filtration Balls (neither included)
Durable, corrosion-resistant tank
6-position handle to easily switch filter functions (filter, closed, backwash, rinse, drain, circulate)
Flange clamp with 360º rotation
Easy-to-read pressure gauge
Pre-filter strainer basket catches larger debris to increase pump efficiency &amp; longevity
Preassembled for quick &amp; easy installation
Compatible with 3.8 cm (1.5"") threaded valves and 3.2 cm (1.25"") valves using included adapters
Contents: 1 sand filter pump",PP 38.53%;PE 22.77%;Steel 21.87%;ABS 4.07%;aluminium 3.82%;PVC 2.42%;copper 1.29%;rubber 0.89%;other 4.34%,6941607361313,,06941607361313,,Above-ground Pools,Pool Accessories,Sand Filter Pumps,,9506.99.90.42,0,24,"=ROUNDUP(AS36/U36,0)","=ROUND(AT36*Y36,3)",=(AT36*U36)*J36,"=ROUND(J36*85%,2)",=AX36*AQ36,=AX36+AY36,=AU36*$BA$7,=AU36/AS36,=BB36*$BA$7,=AZ36+BC36,=BD36*AS36,=BD36*$BF$6,=BF36*AS36,Canadian Tire,249.99,https://www.canadiantire.ca/en/pdp/sand-pool-filter-pump-0813458p.html,Sand Pool Filter Pump,529.45,https://www.amazon.ca/Bestway-Sand-Filter-6056L-1600/dp/B0D9YXVSHK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.q7HIcoIRMrRzspBzLx7HbA.zwApj6jtrR6_ZymlgCbQpDb8DiUyyoKIzhzsyj8rfXg&dib_tag=se&keywords=6056L%2F1600gal+Sand+Filter&qid=1766940560&sr=8-1,2025-12-22 00:00:00,
58951,58951,1058951XXX26,ABOVE GROUND POOLS 2026,PG107,15'/4.57m Round Premium Pool Cover,Bestway ,"(One cover, Fits 4.57m (15') round frame pools)",,17.74,Spreetail only,,Full Color Box,39,3.353,3,54,0.082,10.06,11.12,954,2046,2376,2646,"Compatible with Bestway® 4.57 m (15') round frame pools
Premium, strengthened material is tear-resistant and UV-resistant
Polar-Shield™ enhanced cover can be used year-round, withstands temperatures down to -13ºF (-25ºC)
Wind-resistant tightening mechanism keeps the cover in place in most weather conditions
Drain holes prevent water accumulation
Contents: 1 pool cover",PE 95.5%;PP 3.5%;Others 1.0%,6941607396100,,26941607396104,,Above-ground Pools,Pool Accessories,"Pool Covers, Ground Cloths and Floor Protectors",2026 NEW,9405.40.90.00,0.07,24,"=ROUNDUP(AS40/U40,0)","=ROUND(AT40*Y40,3)",=(AT40*U40)*J40,"=ROUND(J40*85%,2)",=AX40*AQ40,=AX40+AY40,=AU40*$BA$7,=AU40/AS40,=BB40*$BA$7,=AZ40+BC40,=BD40*AS40,=BD40*$BF$6,=BF40*AS40,Canadian Tire,49.99,https://www.canadiantire.ca/en/pdp/bestway-flowcleartm-fast-set-steel-pro-max-frame-debris-pool-cover-black-15-ft-0813874p.html?rrecName=Similar%20Items%20&rrecReferrer=product&rrecProductId=0813874P&rrecProductSlot=2&rrecSchemeId=product1_rr&rrec=true,"Bestway Flowclear™ Steel Pro Frame Debris Pool Cover, 15-ft",49.99,https://www.amazon.ca/Bestway-15-Round-Pool-Cover/dp/B0CDXP78DQ/ref=sr_1_4?crid=3ALOCTWQD546D&dib=eyJ2IjoiMSJ9.xbHNsciL4HqeOYodyEU_kCF7bdkwHnhSaafzN_zNQCQl3qBSvM1obsmOZtUxjg0u-7A3n2buUvOHrt-aWip6KzubdyzsTc6MqEYVrE7F15OgmvrDneTfOLpM78QjAeLBOBEZ9YCnoMZKKxYQn3illVIXfIWxXUbqak0eRffbNsb-CnjWB1N56brH9u02wmRaiVLK-hRxlDMlP7hLwb0jhbBDWRsUofKAjytn8ic4bqMDgZoVF5o8zDUa6-HSLoiplU3GVq2DR4TcEc1qPl3cmjuWjMXa0TMQCcyX9gQdVPs.IAfEg4sCgzUdvgEmZ4vL5MbIVoRG7R62o8fw-Rl5O18&dib_tag=se&keywords=Bestway+Flowclear+Round+15&qid=1766942712&sprefix=bestway+flowclear+round+15%2Caps%2C116&sr=8-4,2025-12-28 00:00:00,https://2.datadive.tools/niche/OTOyuuXixn/niche-analysis/mkl
60310,60310NA,1060310NAX21,LAY-Z-SPA 2026,PG118,All in One Tool Set,SaluSpa ,"(One scoop, one brush, one scrubbing mitt)",,5.02,Amazon + Spreetail,,Full Color Box,45.5,0.785,8,58,0.09,6.24,7.3,2400,5088,5904,6400,"Scoop:
Bumper protects spa surface
Round shaped design fits the contours of the spa interior
Deep net to collect debris
Handheld or connects to standard telescopic pole
Brush:
Bumper and nylon bristles protect spa’s surface
Handheld or connects to standard telescopic pole
Scrubbing Mitt:
Scrub along spa water line
Latex glove bonded with scrubber pad
Full color box
8 Ea., 7.3kg(16.09Lb.)
Contents: 1 scoop, 1 brush, 1 scrubbing mitt",TPE29%;PP23%;PA23%;ABS16%;NBRLatex7%;POM1%;PU1%,,821808603107,,50821808603102,Portable Hot Tubs,Hot Tub Accessories,Hot Tub Maintenance Equipment & Filtration,,5911.90.00.00,0,24,"=ROUNDUP(AS67/U67,0)","=ROUND(AT67*Y67,3)",=(AT67*U67)*J67,"=ROUND(J67*85%,2)",=AX67*AQ67,=AX67+AY67,=AU67*$BA$7,=AU67/AS67,=BB67*$BA$7,=AZ67+BC67,=BD67*AS67,=BD67*$BF$6,=BF67*AS67,Walmart,Closest equivalent - 59.99,https://www.walmart.ca/en/ip/Complete-Pool-Cleaning-Brush-Set-1-Net-Brush-1-Net-1-Floating-Dispenser-and-Debris-Removal-Tool/5TTZCMM2T1M0,Complete Pool Cleaning Brush Set 1 Net Brush 1 Net 1 Floating Dispenser and Debris Removal Tool,69.95,https://www.amazon.ca/Bestway-SaluSpa-3-Piece-Cleaning-Accessory/dp/B01N5R4336,2025-12-29 00:00:00,
60321,60321NA,1060321NAX26,LAY-Z-SPA 2026,PG119,SEAT,SaluSpa ,(one seat),,8.93,Amazon + Spreetail,,Full Color Box,42,2.331,2,44,0.059,4.67,5.5,918,1972,2230,2440,"Firm, sturdy hot tub seat is comfortable for hours of relaxation
Seat legs can be adjusted to a custom height - from 3.15-4.72 in. (8-12 cm)
Weighted seats will remain at the bottom of the hot tub
Contents: 1 seat",PP：61.8%；Stainlesssteel：38.2%,,821808064175,,10821808064172,Portable Hot Tubs,Hot Tub Accessories,Hot Tub Accessories,,9506.99.90.91,0,48,"=ROUNDUP(AS69/U69,0)","=ROUND(AT69*Y69,3)",=(AT69*U69)*J69,"=ROUND(J69*85%,2)",=AX69*AQ69,=AX69+AY69,=AU69*$BA$7,=AU69/AS69,=BB69*$BA$7,=AZ69+BC69,=BD69*AS69,=BD69*$BF$6,=BF69*AS69,Walmart,740.99,https://www.walmart.ca/en/ip/Bestway-SaluSpa-Underwater-Spa-Seat-with-Adjustable-Legs-6-Pack/50VT9JQEKGVO,"Sold and shipped by Spreetail , 6 pack , sale price",71.49,https://www.amazon.ca/Intex-28502E-Pure-Spa-Seat/dp/B00PHX0D34/ref=dp_prsubs_d_sccl_1/132-3934308-1785311?pd_rd_w=R6zRW&content-id=amzn1.sym.be0a786b-dc3e-471c-9381-f99db58c2138&pf_rd_p=be0a786b-dc3e-471c-9381-f99db58c2138&pf_rd_r=E6ADR1V5NZXHXJQW8HDZ&pd_rd_wg=jhxHe&pd_rd_r=edf4e930-cc1e-4312-b181-700d917eda11&pd_rd_i=B00PHX0D34&th=1,2025-12-30 00:00:00,
60334,60334NA,1060334NAX24,LAY-Z-SPA 2026,PG119,"77""x77""/1.96m x 1.96m Floor Protector",SaluSpa ,(1 Floor Protector Set),,11.37,None,,Shrink Wrapped with Insert Card,50,2.136,4,52,0.116,8.54,10.01,896,1840,2288,2560,"Compatible with all spas, multiple sets may be needed for spas larger than 77 in. x 77 in. (1.96 m x 1.96 m)
Durable polyethylene material that provides protection under the spa
Includes additional 18.3 in. x 14.3 in. (46.4 cm x 36.3 cm) mat for under the spa heater
Attachable pieces for straight edges
Contents: 17 connectable protector pieces",PE 100%;,,821808075294,,30821808075295,Portable Hot Tubs,Hot Tub Accessories,Hot Tub Accessories,2024 New,8421.21.00.00,0,24,"=ROUNDUP(AS71/U71,0)","=ROUND(AT71*Y71,3)",=(AT71*U71)*J71,"=ROUND(J71*85%,2)",=AX71*AQ71,=AX71+AY71,=AU71*$BA$7,=AU71/AS71,=BB71*$BA$7,=AZ71+BC71,=BD71*AS71,=BD71*$BF$6,=BF71*AS71,0,0,0,Sold on amazon,91.16,https://www.amazon.ca/-/fr/Lay-Z-Spa-Protection-sol-96/dp/B0CDXSW1HF,2025-12-30 00:00:00,
59100,59100,1059100XXA25,SUMMER 2026,PG170,"36"" x 37.5""/91cm x 96cm WonderJump Trampoline",Bestway ,(1 trampoline),,23.52,None,,Full Color Box,72,7.1,2,40,0.077,14.2,15.2,708,1476,1716,1904,"Corrosion-resistant, powder-coated steel frame
No tools required - sets up in minutes
6 non-slip foot pads for stability and security
Stabilizing handlebar features soft, foam grip
Compact design and removable handlebar allows for easy storage
Fits small spaces
Contents: 1 trampoline",Steel90%;PP5%;PE2%;Others3%,6941607365595,,16941607365592,,Sporting Products,Trampolines,Trampolines,2025ss New,9506.91.00.20,0,48,"=ROUNDUP(AS72/U72,0)","=ROUND(AT72*Y72,3)",=(AT72*U72)*J72,"=ROUND(J72*85%,2)",=AX72*AQ72,=AX72+AY72,=AU72*$BA$7,=AU72/AS72,=BB72*$BA$7,=AZ72+BC72,=BD72*AS72,=BD72*$BF$6,=BF72*AS72,BESTBUY,61.99,https://www.bestbuy.ca/en-ca/product/vevor-3ft-trampoline-for-kids-36-trampolines-indoor-outdoor-trampoline-for-toddlers-foldable-mini-baby-trampoline-with-foam-handle-trampoline-birthday-gift-for-3-years-kids/19335697?cmp=seo-19335697&cmp=knc-s-23198434313&&g&utm_source=google&utm_id=251028all741&utm_medium=troas&utm_creativeformat=shopping&gclsrc=aw.ds&gad_source=1&gad_campaignid=23198434313&gbraid=0AAAAACmYNBMwsMM_Jn8jmb6uVMOO6vPqZ&gclid=CjwKCAiAjc7KBhBvEiwAE2BDOSGF4BQMD94pRPJZxEQB6ZdhbvNUyvg5msSS-ZB-XW__0uChZgBr1xoCBpYQAvD_BwE,"Trampoline with Foam Handle,sale price",69.99,https://www.amazon.ca/Serenelife-Portable-Foldable-Trampoline-Springfree/dp/B0778RX686/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1RGywauNPHsJLK7JOJ7tZ08tWFQ35w3n7xpobw0El6psyeATUH17eBwmaDr0hEiBD1dUx63_4Xu5N3CG_s1YlMIbMvpZBEAv65TJjA5CtggPaOrwEiR_hBFdQuYLdxJr5pYl4LriQcFa4vmP3nZrDlywoGMMAAm8e6--xzA6OXQeDfW8GKLux3Acru_a_1QCa1FtMVupmVIWl7s8DqHxyeOoniESQetOA3crBEuJA_xWwHcaGvSMbBVowPE5Vah5Lz2gUzDVh6GD4JIUFngQyB8eAz2dzoGLC5g09IO_pM4.rA5fpSDPzBTMujByOuFxK4JQHB23jhGIr0wuhxhifaY&dib_tag=se&keywords=mini-trampoline&qid=1767141191&sr=8-5&th=1,2025-12-30 00:00:00,
59124,59124,1059124XXX26,SUMMER 2026,PG171,"40"" x 53""/102cm x 135cm Aerobounce Exercise Trampoline, Red, Youth ADULT",Bestway ,"(1 trampoline, 1 bungee cord assembly tool, 1 wrench)",,35.05,None,,Full Color Box,82.5,9.2,2,40,0.091,18.4,21.3,580,1220,1392,1536,"Corrosion-resistant, powder-coated steel frame
Easy to assemble with included tools
T-handlebar adjusts to 4 height levels (1.04 m – 1.35 m), providing a comfortable grip and added stability
27 high-quality bungee cord springs provide quiet, low-impact exercise
Foldable design and removable handlebar allows for compact storage
6 non-slip foot pads for stability and security
Fits small spaces
